teamLoc,teamPTS,teamAST,teamTO,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamPTS1,teamPTS2,teamRslt
1,88,23,14,7,2,19,77,34,0.4416,47,21,0.4468,30,13,0.4333,13,7,0.5385,7,27,23,23,0
0,105,25,13,17,4,25,89,37,0.4157,69,29,0.4203,20,8,0.4,29,23,0.7931,8,40,34,16,1
1,97,23,22,6,7,20,84,35,0.4167,46,22,0.4783,38,13,0.3421,23,14,0.6087,11,39,31,24,0
0,86,18,14,16,4,19,85,30,0.3529,57,21,0.3684,28,9,0.3214,19,17,0.8947,7,27,15,21,0
1,107,20,20,11,7,18,85,44,0.5176,70,40,0.5714,15,4,0.2667,22,15,0.6818,9,46,25,22,1
0,85,20,22,12,3,23,80,30,0.375,48,20,0.4167,32,10,0.3125,21,15,0.7143,10,26,20,24,0
1,107,24,22,11,5,26,81,35,0.4321,47,22,0.4681,34,13,0.3824,25,24,0.96,14,37,20,36,1
0,100,11,17,1,9,23,83,33,0.3976,68,27,0.3971,15,6,0.4,32,28,0.875,15,45,23,32,1
1,92,23,8,6,9,26,86,33,0.3837,56,25,0.4464,30,8,0.2667,23,18,0.7826,5,30,24,22,0
0,99,23,18,4,1,18,74,39,0.527,50,30,0.6,24,9,0.375,17,12,0.7059,8,38,27,20,1
1,88,17,10,10,7,19,79,35,0.443,57,31,0.5439,22,4,0.1818,19,14,0.7368,6,27,19,27,0
0,107,22,14,14,2,25,89,38,0.427,54,27,0.5,35,11,0.3143,26,20,0.7692,9,31,33,32,0
1,114,26,19,9,3,22,80,41,0.5125,55,34,0.6182,25,7,0.28,32,25,0.7813,7,42,24,33,1
0,110,24,17,8,4,24,84,38,0.4524,48,25,0.5208,36,13,0.3611,26,21,0.8077,5,48,34,19,1
1,102,18,11,7,3,22,96,39,0.4063,63,32,0.5079,33,7,0.2121,20,17,0.85,8,37,22,27,0
0,85,21,15,7,7,15,85,37,0.4353,55,29,0.5273,30,8,0.2667,8,3,0.375,9,29,22,16,0
1,96,29,18,7,5,17,89,40,0.4494,58,30,0.5172,31,10,0.3226,6,6,1,14,38,24,22,1
0,114,18,14,6,3,13,86,42,0.4884,54,27,0.5,32,15,0.4688,20,15,0.75,14,35,22,25,1
1,98,18,14,11,6,19,86,41,0.4767,66,33,0.5,20,8,0.4,9,8,0.8889,5,29,22,25,0
0,94,22,14,4,4,19,94,36,0.383,58,25,0.431,36,11,0.3056,16,11,0.6875,15,39,27,29,0
1,103,23,14,7,6,16,90,36,0.4,50,23,0.46,40,13,0.325,25,18,0.72,12,41,23,19,1
0,124,25,13,4,6,29,99,48,0.4848,66,37,0.5606,33,11,0.3333,22,17,0.7727,9,34,26,33,0
1,129,23,12,5,5,20,91,43,0.4725,63,33,0.5238,28,10,0.3571,40,33,0.825,14,34,25,30,1
0,109,26,19,5,3,21,81,42,0.5185,44,28,0.6364,37,14,0.3784,16,11,0.6875,8,34,17,29,0
1,119,21,10,8,2,19,83,43,0.5181,49,29,0.5918,34,14,0.4118,27,19,0.7037,4,29,20,25,1
0,81,14,17,8,6,17,89,30,0.3371,63,23,0.3651,26,7,0.2692,24,14,0.5833,11,37,14,23,0
1,101,23,18,12,8,21,90,39,0.4333,58,28,0.4828,32,11,0.3438,17,12,0.7059,11,46,26,24,1
0,116,30,17,7,4,15,76,44,0.5789,46,29,0.6304,30,15,0.5,19,13,0.6842,6,27,29,33,1
1,103,26,15,10,2,20,83,40,0.4819,54,30,0.5556,29,10,0.3448,15,13,0.8667,9,27,30,33,0
0,98,19,11,11,4,19,84,35,0.4167,58,26,0.4483,26,9,0.3462,27,19,0.7037,7,30,16,25,0
1,104,20,16,3,4,22,81,40,0.4938,53,30,0.566,28,10,0.3571,16,14,0.875,7,41,27,27,1
0,100,21,15,4,10,23,87,37,0.4253,49,23,0.4694,38,14,0.3684,18,12,0.6667,12,30,34,25,0
1,108,29,12,8,7,19,93,43,0.4624,69,35,0.5072,24,8,0.3333,17,14,0.8235,13,34,26,22,1
0,95,19,21,11,5,14,87,35,0.4023,54,25,0.463,33,10,0.303,23,15,0.6522,15,28,17,23,0
1,125,30,18,13,4,22,82,45,0.5488,41,27,0.6585,41,18,0.439,23,17,0.7391,8,38,36,39,1
0,95,23,8,9,2,14,91,39,0.4286,63,30,0.4762,28,9,0.3214,16,8,0.5,4,36,12,27,1
1,94,25,17,7,6,25,81,37,0.4568,52,30,0.5769,29,7,0.2414,14,13,0.9286,6,46,27,29,0
0,118,28,15,4,4,31,91,46,0.5055,54,34,0.6296,37,12,0.3243,22,14,0.6364,7,37,35,27,0
1,124,22,8,9,3,17,87,40,0.4598,64,32,0.5,23,8,0.3478,45,36,0.8,10,32,30,35,1
0,90,22,16,10,5,23,88,35,0.3977,64,29,0.4531,24,6,0.25,15,14,0.9333,8,31,29,13,0
1,107,23,16,7,2,18,81,39,0.4815,57,32,0.5614,24,7,0.2917,24,22,0.9167,7,38,19,31,1
0,91,22,22,11,8,20,80,33,0.4125,49,23,0.4694,31,10,0.3226,18,15,0.8333,7,32,26,22,0
1,108,16,17,15,5,21,90,41,0.4556,65,33,0.5077,25,8,0.32,26,18,0.6923,13,37,33,32,1
0,113,19,15,16,6,30,97,42,0.433,68,34,0.5,29,8,0.2759,31,21,0.6774,13,29,33,21,1
1,107,15,29,7,9,26,93,37,0.3978,71,30,0.4225,22,7,0.3182,33,26,0.7879,22,38,23,21,0
0,80,15,16,3,1,21,78,29,0.3718,57,24,0.4211,21,5,0.2381,20,17,0.85,8,35,24,22,0
1,110,23,7,10,5,15,86,40,0.4651,51,26,0.5098,35,14,0.4,19,16,0.8421,8,37,25,30,1
0,102,27,17,8,4,19,78,39,0.5,49,24,0.4898,29,15,0.5172,15,9,0.6,4,28,19,22,0
1,113,26,17,9,4,20,85,47,0.5529,64,37,0.5781,21,10,0.4762,14,9,0.6429,10,34,31,23,1
0,104,30,20,1,9,19,79,40,0.5063,49,28,0.5714,30,12,0.4,14,12,0.8571,5,33,39,28,0
1,116,30,10,7,2,16,99,47,0.4747,68,34,0.5,31,13,0.4194,12,9,0.75,13,27,24,35,1
0,103,21,12,6,4,16,95,41,0.4316,71,32,0.4507,24,9,0.375,19,12,0.6316,16,35,26,21,0
1,118,27,9,6,10,20,91,42,0.4615,49,25,0.5102,42,17,0.4048,25,17,0.68,13,33,40,33,1
0,99,25,9,4,3,17,94,36,0.383,65,25,0.3846,29,11,0.3793,27,16,0.5926,15,40,28,29,0
1,100,25,12,4,7,24,83,38,0.4578,44,25,0.5682,39,13,0.3333,15,11,0.7333,3,42,27,27,1
0,102,17,20,14,4,20,81,40,0.4938,51,31,0.6078,30,9,0.3,20,15,0.75,7,35,25,35,0
1,107,19,16,10,3,18,83,38,0.4578,57,27,0.4737,26,11,0.4231,27,20,0.7407,10,31,29,21,1
0,109,29,14,4,4,24,80,38,0.475,41,19,0.4634,39,19,0.4872,16,14,0.875,9,33,28,30,1
1,97,21,10,9,3,16,84,37,0.4405,67,30,0.4478,17,7,0.4118,26,16,0.6154,13,31,24,24,0
0,99,22,21,6,5,17,84,39,0.4643,47,25,0.5319,37,14,0.3784,9,7,0.7778,8,35,25,24,1
1,98,22,15,13,6,12,98,42,0.4286,66,34,0.5152,32,8,0.25,8,6,0.75,13,32,29,30,0
0,92,28,18,10,3,21,73,36,0.4932,49,27,0.551,24,9,0.375,16,11,0.6875,3,20,18,27,0
